method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
ae_1024_quan_8,3,161,0.634609407427148,0.6635318097085385,1.3937858786688457,0.6124994717850173,28.46993464290171,23.961526881967373,6281.916888829194,78322.91404918792,19106.0283203125,0.0,2.0,0.0,6253.446954186293,0.7591764712416977,0.455313414448739,9553.01416015625
ae_1024_quan_8,4,142,0.7516379878646366,0.7203134160192463,1.467474046346902,0.5657262129200887,29.827058788298753,28.384830500981387,4109.986601614503,47494.553030703166,19106.0283203125,0.0,2.0,0.0,4080.1595428262044,0.7158360584822654,0.5121984880998393,9553.01416015625
ae_1024_quan_8,5,161,0.6172005589154798,0.6489307337239247,1.4094769806363938,0.6376866734938496,30.08662129103604,31.161405928757887,125.00301954851471,257.0867454970304,19106.0283203125,0.0,2.0,0.0,94.91639825747868,0.7922764217209141,0.4378933231224586,9553.01416015625
ae_1024_quan_8,6,142,0.7794150311932703,0.7445934887809758,1.489803614521163,0.561657395528374,32.21253917871737,32.12553739845241,124.40433483554817,136.63418913465483,19106.0283203125,0.0,2.0,0.0,92.1917956568308,0.7103885833278928,0.5231662909099476,9553.01416015625
ae_1024_quan_8,7,161,0.6600000885407793,0.6949771700496822,1.4234489638369925,0.6819460199213553,36.9113942262532,41.039001546744004,146.09263098615133,232.50397219481047,19106.0283203125,0.0,2.0,0.0,109.18123675989813,0.7634488752962132,0.46366262880385206,9553.01416015625
ae_1024_quan_8,8,142,0.8357389599255378,0.7893642794016148,1.5275672656208488,0.5975967150204369,41.47067799079565,49.357546285489526,199.45536488712708,357.6357291114455,19106.0283203125,0.0,2.0,0.0,157.98468689633143,0.691828305695311,0.5471045228151499,9553.01416015625
ae_1024_quan_8,9,100,0.6362950059492141,0.643771413389356,1.4241572147794068,0.6285005213389472,42.65884939754477,47.7488516497942,1277.6270325565745,11116.448124233884,19106.0283203125,0.0,2.0,0.0,1234.9681831590296,0.7878622088301928,0.44678705366652394,9553.01416015625
ae_1024_quan_8,10,130,0.7935248619267861,0.7638178806358059,1.5174910297688957,0.557609041649739,46.407470779295856,70.8461753544688,213.05130463050344,292.11796621138603,19106.0283203125,0.0,2.0,0.0,166.64383385120757,0.7239661678421097,0.5229189803168951,9553.01416015625
ae_1024_quan_8,11,72,0.6284532091813162,0.7031291085097651,1.4298122244912923,0.6232741833603662,43.27570431831941,49.336556495378304,162.796302954892,177.68644965105497,19106.0283203125,0.0,2.0,0.0,119.5205986365726,0.8013590153099761,0.4395354847416494,9553.01416015625
ae_1024_quan_8,12,115,0.7721831520249987,0.7961452617231465,1.4725506160732196,0.5878094371679621,44.0262828372421,44.646241129585825,263.2307333007863,407.65258720567374,19106.0283203125,0.0,2.0,0.0,219.20445046354422,0.7003674640482209,0.5243847943808836,9553.01416015625
ae_1024_quan_8,13,46,0.7140912586600399,0.9337679920942039,1.4398266597165037,0.6511620488138797,39.52023627197952,43.47371777148403,267.23628493169633,672.7531161622541,19106.0283203125,0.0,2.0,0.0,227.71604865971682,0.7257354010564638,0.49595640825308906,9553.01416015625
ae_1024_quan_8,14,96,0.8482019915924562,0.9414175371007956,1.5487565979516755,0.6453108250344957,49.651586103691336,52.54080820928419,318.2154418736315,560.417996552012,19106.0283203125,0.0,2.0,0.0,268.5638557699402,0.7005546063592193,0.5476664265477575,9553.01416015625
ae_1024_quan_8,15,27,0.6473655293488668,0.6920104656102459,1.5586263146596375,1.069782547984753,34.51147999198191,35.34973540377683,189.6746932443099,181.39736290979152,19106.0283203125,0.0,2.0,0.0,155.163213252328,0.9112607853107707,0.4153436415515891,9553.01416015625
ae_1024_quan_8,16,78,0.8284645607300962,0.8934025003855035,1.536950313569739,0.6344102135092686,52.91850294417319,50.207222265957185,404.08343414877453,714.4542430678216,19106.0283203125,0.0,2.0,0.0,351.1649312046013,0.7084857528396429,0.5390314530115775,9553.01416015625
ae_1024_quan_8,17,6,0.7566705131903291,1.0185095742845867,1.8553965704826016,1.614607417192508,13.971931639687652,20.403347394609106,93.36052922963421,49.60186079599297,19106.0283203125,0.0,2.0,0.0,79.38859758994656,1.0987260572922726,0.40782144649190216,9553.01416015625
ae_1024_quan_8,18,65,0.7667899034845714,0.7642512591447853,1.524891224073676,0.5830905800616856,53.60667664291986,53.30301325540442,356.17775010231367,471.5350620786885,19106.0283203125,0.0,2.0,0.0,302.5710734593938,0.7581013205891046,0.5028489189124768,9553.01416015625
ae_1024_quan_8,20,54,0.7446404409819041,0.7275840112979722,1.5024355610970546,0.623424779967206,61.01150589773096,69.21362922267724,606.2801945316098,1183.6574900742205,19106.0283203125,0.0,2.0,0.0,545.2686886338788,0.7577951201151505,0.49562221519715594,9553.01416015625
ae_1024_quan_8,22,41,0.7946471213817414,1.0179917391812405,1.4965942370273717,0.79415344416936,64.78035504908065,76.6497511550132,895.1687908119853,2378.3930530189914,19106.0283203125,0.0,2.0,0.0,830.3884357629047,0.7019471156456303,0.5309703202921046,9553.01416015625
ae_1024_quan_8,24,30,0.7993141617160291,0.7933585357946763,1.4640552764448027,0.6792969123649387,79.07644581900901,111.05309329489512,491.4234978248931,744.1119079615171,19106.0283203125,0.0,2.0,0.0,412.3470520058841,0.6647411147287736,0.5459590048109529,9553.01416015625
ae_1024_quan_8,26,22,0.6983018412508748,0.5476842093959492,1.4572630981406705,0.5879663461178486,109.66003403105982,133.42064313558936,604.2798224849574,726.6987046482376,19106.0283203125,0.0,2.0,0.0,494.6197884538976,0.7589612568897957,0.4791872120702444,9553.01416015625
ae_1024_quan_8,28,16,0.6339190934377257,0.40878471926989174,1.3473202680470422,0.4909960103476574,189.8106675068633,243.14441060740563,948.2018707624204,1280.0356666634245,19106.0283203125,0.0,2.0,0.0,758.3912032555571,0.7134011746093165,0.47050364228291425,9553.01416015625
ae_1024_quan_8,30,6,0.5004858289224406,0.21514433702670926,1.408941637724638,0.30321000461116165,417.7806081120141,546.5443417900119,1812.0017866699382,1978.146163640237,19106.0283203125,0.0,2.0,0.0,1394.221178557924,0.9084558088021973,0.35522112167165226,9553.01416015625
ae_2048_quan_8,1,161,0.5755813236186362,0.5602179060739054,1.6830144893690389,0.6076849048726698,33.80645999190167,38.32103279007297,67.4406490755831,97.52185684135807,19106.0283203125,0.0,2.0,0.0,33.63418908368143,1.1074331657504026,0.3419942770869556,9553.01416015625
ae_2048_quan_8,2,142,0.7026537387651509,0.6714050069238048,1.8080096601141276,0.6442470340382995,32.96112184894133,26.86786562608271,63.063873142999334,84.58990132489554,19106.0283203125,0.0,2.0,0.0,30.102751294058002,1.1053559213489765,0.3886338409944099,9553.01416015625
ae_2048_quan_8,3,161,0.634609407427148,0.6635318097085385,1.7356135430832549,0.667575157445289,28.46993464290171,23.961526881967373,1536.1671227279257,18599.9269597662,19106.0283203125,0.0,2.0,0.0,1507.697188085024,1.1010041356561069,0.36563981074945245,9553.01416015625
ae_2048_quan_8,4,142,0.7516379878646366,0.7203134160192463,1.8399024475890566,0.6433209996361843,29.827058788298753,28.384830500981387,90.27949139480947,192.7346845340509,19106.0283203125,0.0,2.0,0.0,60.45243260651071,1.08826445972442,0.4085205652340735,9553.01416015625
ae_2048_quan_8,5,161,0.6172005589154798,0.6489307337239247,1.7429795982200444,0.6981629371371998,30.08662129103604,31.161405928757887,524.0001679877854,5669.288600037553,19106.0283203125,0.0,2.0,0.0,493.91354669674934,1.1257790393045646,0.35410658825024327,9553.01416015625
